,naic_cd,naics_code_description,total_flsa_bw_atp_amt,total_flsa_ee_atp_cnt,total_observations,num_firms,num_establishments,num_employed,payroll,receipts,flsa_severity_idx,flsa_reported_rt,flsa_suscptbl_idx
"('42441', 'General Line Grocery Merchant Wholesalers')",42441,General Line Grocery Merchant Wholesalers,446.94,1.0,37,11544,12578,314105,14890450,309900346,0.00142289998567,0.117795004855,0.0120794594595
"('424410', 'General Line Grocery Merchant Wholesalers')",424410,General Line Grocery Merchant Wholesalers,0.0,0.0,144,11544,12578,314105,14890450,309900346,,0.458445424301,
"('42442', 'Packaged Frozen Food Merchant Wholesalers')",42442,Packaged Frozen Food Merchant Wholesalers,17968.64,7.5,6,9554,10926,238890,10999938,239459465,0.0752172129432,0.0251161622504,2.99477333333
"('424420', 'Packaged Frozen Food Merchant Wholesalers')",424420,Packaged Frozen Food Merchant Wholesalers,0.0,0.0,35,9554,10926,238890,10999938,239459465,,0.146510946461,
"('42443', 'Dairy Product (except Dried or Canned) Merchant Wholesalers')",42443,Dairy Product (except Dried or Canned) Merchant Wholesalers,1286.85,1.5,4,5838,7123,121034,5596859,139380981,0.0106321364245,0.0330485648661,0.3217125
"('424430', 'Dairy Product (except Dried or Canned) Merchant Wholesalers')",424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,0.0,0.0,18,5838,7123,121034,5596859,139380981,,0.148718541897,
"('42444', 'Poultry and Poultry Product Merchant Wholesalers')",42444,Poultry and Poultry Product Merchant Wholesalers,0.0,0.0,4,1902,2111,34144,1338544,33321822,,0.117150890347,
"('424440', 'Poultry and Poultry Product Merchant Wholesalers')",424440,Poultry and Poultry Product Merchant Wholesalers,1214.4,3.0,2,1902,2111,34144,1338544,33321822,0.0355670103093,0.0585754451734,0.6072
"('42445', 'Confectionery Merchant Wholesalers')",42445,Confectionery Merchant Wholesalers,15562.58,6.0,1,7769,8665,92853,3760961,54650531,0.167604493124,0.010769711264,15.56258
"('424450', 'Confectionery Merchant Wholesalers')",424450,Confectionery Merchant Wholesalers,780.62,2.0,11,7769,8665,92853,3760961,54650531,0.00840705200694,0.118466823904,0.0709654545455
"('42446', 'Fish and Seafood Merchant Wholesalers')",42446,Fish and Seafood Merchant Wholesalers,281.925,0.5,10,9019,9310,78075,2996823,53416180,0.00361095100865,0.128081972462,0.0281925
"('424460', 'Fish and Seafood Merchant Wholesalers')",424460,Fish and Seafood Merchant Wholesalers,0.0,0.0,51,9019,9310,78075,2996823,53416180,,0.653218059558,
"('42447', 'Meat and Meat Product Merchant Wholesalers')",42447,Meat and Meat Product Merchant Wholesalers,120.55,2.0,10,9034,9503,130933,5329504,118193337,0.000920699899949,0.0763749398547,0.012055
"('424470', 'Meat and Meat Product Merchant Wholesalers')",424470,Meat and Meat Product Merchant Wholesalers,144.67,1.0,52,9034,9503,130933,5329504,118193337,0.00110491625488,0.397149687245,0.00278211538462
"('42448', 'Fresh Fruit and Vegetable Merchant Wholesalers')",42448,Fresh Fruit and Vegetable Merchant Wholesalers,3572.2,2.0,29,17107,18235,306660,12567014,195347934,0.0116487314942,0.0945672732016,0.123179310345
"('424480', 'Fresh Fruit and Vegetable Merchant Wholesalers')",424480,Fresh Fruit and Vegetable Merchant Wholesalers,0.0,0.0,182,17107,18235,306660,12567014,195347934,,0.593491162851,
"('42449', 'Other Grocery and Related Products Merchant Wholesalers')",42449,Other Grocery and Related Products Merchant Wholesalers,221.07,0.5,16,33348,40342,651445,28234960,456322280,0.000339353283854,0.024560784103,0.013816875
"('424490', 'Other Grocery and Related Products Merchant Wholesalers')",424490,Other Grocery and Related Products Merchant Wholesalers,0.0,0.0,113,33348,40342,651445,28234960,456322280,,0.173460537728,
"('4245', 'Farm Product Raw Material Merchant Wholesalers')",4245,Farm Product Raw Material Merchant Wholesalers,1326.9,0.5,8,15111,22094,189035,7247289,363141832,0.00701933504377,0.042320205253,0.1658625
"('42451', 'Grain and Field Bean Merchant Wholesalers')",42451,Grain and Field Bean Merchant Wholesalers,0.0,0.0,14,8923,15253,133690,5591890,288830988,,0.104719874336,
"('424510', 'Grain and Field Bean Merchant Wholesalers')",424510,Grain and Field Bean Merchant Wholesalers,0.0,0.0,55,8923,15253,133690,5591890,288830988,,0.411399506321,
"('42452', 'Livestock Merchant Wholesalers')",42452,Livestock Merchant Wholesalers,3880.69,2.5,4,3204,3553,32132,479486,35654042,0.120773372339,0.124486493215,0.9701725
"('424520', 'Livestock Merchant Wholesalers')",424520,Livestock Merchant Wholesalers,0.0,0.0,21,3204,3553,32132,479486,35654042,,0.653554089381,
"('42459', 'Other Farm Product Raw Material Merchant Wholesalers')",42459,Other Farm Product Raw Material Merchant Wholesalers,0.0,0.0,22,3017,3288,21940,1170404,38508011,,1.00273473108,
"('424590', 'Other Farm Product Raw Material Merchant Wholesalers')",424590,Other Farm Product Raw Material Merchant Wholesalers,0.0,0.0,87,3017,3288,21940,1170404,38508011,,3.96536007293,
"('424610', 'Plastics Materials and Basic Forms and Shapes Merchant Wholesalers')",424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,2273.7,1.0,3,8361,10098,106089,5885209,115638352,0.0214320052032,0.0282781438226,0.7579
"('42469', 'Other Chemical and Allied Products Merchant Wholesalers')",42469,Other Chemical and Allied Products Merchant Wholesalers,3649.08,3.0,1,23466,31576,289999,17966005,298823273,0.0125830778727,0.00344828775272,3.64908
"('424690', 'Other Chemical and Allied Products Merchant Wholesalers')",424690,Other Chemical and Allied Products Merchant Wholesalers,334.64,1.0,20,23466,31576,289999,17966005,298823273,0.00115393501357,0.0689657550543,0.016732
"('4247', 'Petroleum and Petroleum Products Merchant Wholesalers')",4247,Petroleum and Petroleum Products Merchant Wholesalers,4466.42,1.0,5,17852,23317,281881,16018139,1604619191,0.0158450551829,0.0177379816305,0.893284
"('42471', 'Petroleum Bulk Stations and Terminals')",42471,Petroleum Bulk Stations and Terminals,3398.78,1.0,3,10018,13614,183907,9806954,966948708,0.0184809713605,0.0163125927779,1.13292666667
"('424710', 'Petroleum Bulk Stations and Terminals')",424710,Petroleum Bulk Stations and Terminals,253.915,0.5,12,10018,13614,183907,9806954,966948708,0.00138067066506,0.0652503711115,0.0211595833333
"('42472', 'Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)')",42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),6844.82,2.5,6,8189,9703,97974,6211185,637670483,0.0698636372915,0.0612407373385,1.14080333333
"('424720', 'Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)')",424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),17.0,0.5,44,8189,9703,97974,6211185,637670483,0.000173515422459,0.449098740482,0.000386363636364
"('4248', 'Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers')",4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",2621.11,1.0,12,11979,14069,478317,23971290,286026797,0.00547985959102,0.0250879646761,0.218425833333
"('42481', 'Beer and Ale Merchant Wholesalers')",42481,Beer and Ale Merchant Wholesalers,3988.57,4.5,12,6255,7320,305593,13561819,144733205,0.0130519023669,0.0392679151682,0.332380833333
"('424810', 'Beer and Ale Merchant Wholesalers')",424810,Beer and Ale Merchant Wholesalers,3789.93,2.0,58,6255,7320,305593,13561819,144733205,0.0124018874778,0.189794923313,0.0653436206897
"('42482', 'Wine and Distilled Alcoholic Beverage Merchant Wholesalers')",42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,8427.67,7.0,4,5791,6749,173453,10409471,141293592,0.0485876289254,0.0230610021158,2.1069175
"('424820', 'Wine and Distilled Alcoholic Beverage Merchant Wholesalers')",424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,0.0,0.0,30,5791,6749,173453,10409471,141293592,,0.172957515869,
"('4249', 'Miscellaneous Nondurable Goods Merchant Wholesalers')",4249,Miscellaneous Nondurable Goods Merchant Wholesalers,2992.88,2.0,13,98031,112750,1063619,41710890,694254134,0.00281386473916,0.0122224217506,0.230221538462
"('42491', 'Farm Supplies Merchant Wholesalers')",42491,Farm Supplies Merchant Wholesalers,6001.76,1.0,3,18601,25677,229882,10253512,199134237,0.0261080032364,0.0130501735673,2.00058666667
"('424910', 'Farm Supplies Merchant Wholesalers')",424910,Farm Supplies Merchant Wholesalers,232.0,1.0,23,18601,25677,229882,10253512,199134237,0.00100921342254,0.100051330683,0.0100869565217
"('42492', 'Book, Periodical, and Newspaper Merchant Wholesalers')",42492,"Book, Periodical, and Newspaper Merchant Wholesalers",442.03,2.0,8,7919,9652,164473,6201361,69045849,0.00268755358022,0.0486402023432,0.05525375
"('424920', 'Book, Periodical, and Newspaper Merchant Wholesalers')",424920,"Book, Periodical, and Newspaper Merchant Wholesalers",0.0,0.0,14,7919,9652,164473,6201361,69045849,,0.0851203541007,
"('42493', ""Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"")",42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",121.88,1.0,25,14356,15890,177508,5325586,35696446,0.000686616941208,0.140838722762,0.0048752
"('424930', ""Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"")",424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",0.0,0.0,120,14356,15890,177508,5325586,35696446,,0.676025869257,
"('42494', 'Tobacco and Tobacco Product Merchant Wholesalers')",42494,Tobacco and Tobacco Product Merchant Wholesalers,7126.4,3.0,1,4310,4902,108754,4118173,162101366,0.0655277047281,0.0091950640896,7.1264
"('424940', 'Tobacco and Tobacco Product Merchant Wholesalers')",424940,Tobacco and Tobacco Product Merchant Wholesalers,3754.885,3.0,12,4310,4902,108754,4118173,162101366,0.0345264082241,0.110340769075,0.312907083333
"('42495', 'Paint, Varnish, and Supplies Merchant Wholesalers')",42495,"Paint, Varnish, and Supplies Merchant Wholesalers",46322.1,10.0,1,4558,6986,58148,2688854,29792023,0.796624131526,0.0171974960446,46.3221
"('424950', 'Paint, Varnish, and Supplies Merchant Wholesalers')",424950,"Paint, Varnish, and Supplies Merchant Wholesalers",2628.02,2.0,9,4558,6986,58148,2688854,29792023,0.0451953635551,0.154777464401,0.292002222222
"('42499', 'Other Miscellaneous Nondurable Goods Merchant Wholesalers')",42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,3106.42,4.0,13,48397,49643,295693,11861690,129459382,0.0105055581295,0.0439645172527,0.238955384615
"('424990', 'Other Miscellaneous Nondurable Goods Merchant Wholesalers')",424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,2799.67,2.0,79,48397,49643,295693,11861690,129459382,0.00946816461668,0.267168989459,0.0354388607595
"('4251', 'Wholesale Electronic Markets and Agents and Brokers')",4251,Wholesale Electronic Markets and Agents and Brokers,11155.71,2.0,8,213743,220624,1067486,57151748,1832619872,0.0104504508724,0.00749424348422,1.39446375
"('42511', 'Business to Business Electronic Markets')",42511,Business to Business Electronic Markets,0.0,0.0,5,4752,4786,25091,1228076,26666098,,0.199274640309,
"('425110', 'Business to Business Electronic Markets')",425110,Business to Business Electronic Markets,3794.36,3.0,11,4752,4786,25091,1228076,26666098,0.151223944841,0.43840420868,0.344941818182
"('42512', 'Wholesale Trade Agents and Brokers')",42512,Wholesale Trade Agents and Brokers,745.665,2.0,18,208999,215838,1042395,55923672,1805953774,0.000715338235506,0.017267926266,0.0414258333333
"('425120', 'Wholesale Trade Agents and Brokers')",425120,Wholesale Trade Agents and Brokers,0.0,0.0,67,208999,215838,1042395,55923672,1805953774,,0.0642750588788,
"('4411', 'Automobile Dealers')",4411,Automobile Dealers,1968.2,3.0,281,170932,183782,3765729,161530120,2205051055,0.000522661083684,0.0746203457551,0.00700427046263
"('44111', 'New Car Dealers')",44111,New Car Dealers,1141.55,2.0,208,69904,78661,3292797,146265161,1962250636,0.000346680952394,0.0631681819438,0.00548822115385
"('441110', 'New Car Dealers')",441110,New Car Dealers,1415.35,2.0,863,69904,78661,3292797,146265161,1962250636,0.000429832145741,0.26208721643,0.00164003476246
"('44112', 'Used Car Dealers')",44112,Used Car Dealers,2505.95,3.0,106,101697,105121,454640,14581530,232171394,0.00551194351575,0.233151504487,0.0236410377358
"('441120', 'Used Car Dealers')",441120,Used Car Dealers,1622.35,2.0,399,101697,105121,454640,14581530,232171394,0.00356842776702,0.877617455569,0.00406604010025
"('4412', 'Other Motor Vehicle Dealers')",4412,Other Motor Vehicle Dealers,4052.88,3.0,15,58946,63519,556946,19903087,209180681,0.00727697119649,0.026932593106,0.270192
"('44121', 'Recreational Vehicle Dealers')",44121,Recreational Vehicle Dealers,500.0,2.0,15,10181,11104,134569,5206653,57667036,0.00371556599217,0.111466979765,0.0333333333333
"('441210', 'Recreational Vehicle Dealers')",441210,Recreational Vehicle Dealers,2294.1,2.0,55,10181,11104,134569,5206653,57667036,0.0170477598853,0.408712259138,0.0417109090909
"('44122', 'Motorcycle, Boat, and Other Motor Vehicle Dealers')",44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers",6700.42,6.0,36,48778,52415,411165,14696434,151513645,0.0162961827977,0.0875560906206,0.186122777778
"('441221', 'Motorcycle, ATV, and Personal Watercraft Dealers')",441221,"Motorcycle, ATV, and Personal Watercraft Dealers",4878.34,6.0,157,21560,22581,226582,7690973,73752863,0.0215301303722,0.692905879549,0.0310722292994
"('441222', 'Boat Dealers')",441222,Boat Dealers,1431.22,2.0,67,18245,20506,131204,4836717,48930995,0.0109083564525,0.510655162952,0.0213614925373
"('441229', 'All Other Motor Vehicle Dealers')",441229,All Other Motor Vehicle Dealers,1880.86,1.0,55,8981,9328,54434,1977623,25982226,0.034553036705,1.01039791307,0.0341974545455
"('4413', 'Automotive Parts, Accessories, and Tire Stores')",4413,"Automotive Parts, Accessories, and Tire Stores",1251.18,1.0,74,128404,187293,1388022,37669155,226597760,0.000901412225455,0.0533132760144,0.0169078378378
"('44131', 'Automotive Parts and Accessories Stores')",44131,Automotive Parts and Accessories Stores,3564.095,3.0,104,85083,124520,901204,22066457,138873210,0.00395481489208,0.115401174429,0.0342701442308
"('441310', 'Automotive Parts and Accessories Stores')",441310,Automotive Parts and Accessories Stores,2764.08,2.0,384,85083,124520,901204,22066457,138873210,0.00306709690592,0.426096644045,0.007198125
"('44132', 'Tire Dealers')",44132,Tire Dealers,5613.98,3.0,125,43524,62773,486818,15602698,87724550,0.0115319893677,0.256769470315,0.04491184
"('441320', 'Tire Dealers')",441320,Tire Dealers,1178.56,1.0,289,43524,62773,486818,15602698,87724550,0.00242094581548,0.593651015369,0.00407806228374
"('4421', 'Furniture Stores')",4421,Furniture Stores,1855.53,2.5,22,78434,101520,818479,24243548,170753194,0.00226704655831,0.0268791257931,0.0843422727273
"('44211', 'Furniture Stores')",44211,Furniture Stores,1705.76,3.0,57,78434,101520,818479,24243548,170753194,0.00208406080058,0.069641371373,0.0299256140351
"('442110', 'Furniture Stores')",442110,Furniture Stores,2384.11,3.0,288,78434,101520,818479,24243548,170753194,0.00291285420884,0.3518721922,0.00827815972222
"('4422', 'Home Furnishings Stores')",4422,Home Furnishings Stores,422.76,2.0,24,104152,126967,911707,22487866,154524093,0.000463701605889,0.0263242467152,0.017615
"('44221', 'Floor Covering Stores')",44221,Floor Covering Stores,1500.1,3.0,35,50231,55761,334887,12162529,79627638,0.00447942141678,0.104512865534,0.04286
"('442210', 'Floor Covering Stores')",442210,Floor Covering Stores,431.11,1.0,144,50231,55761,334887,12162529,79627638,0.00128732975601,0.429995789625,0.00299381944444
"('44229', 'Other Home Furnishings Stores')",44229,Other Home Furnishings Stores,1914.72,1.0,36,53934,71206,576820,10325337,74896455,0.00331944107347,0.0624111507923,0.0531866666667
"('442291', 'Window Treatment Stores')",442291,Window Treatment Stores,5897.36,1.0,28,10120,11379,42702,1171750,7305076,0.138105006791,0.655706992647,0.21062
"('442299', 'All Other Home Furnishings Stores')",442299,All Other Home Furnishings Stores,1032.6,2.0,167,43833,59827,513948,9153587,67591379,0.00200915267692,0.324935596597,0.00618323353293
"('4431', 'Electronics and Appliance Stores')",4431,Electronics and Appliance Stores,0.0,0.0,34,120555,170236,1278979,34457057,292115048,,0.0265837046582,
"('44311', 'Appliance, Television, and Other Electronics Stores')",44311,"Appliance, Television, and Other Electronics Stores",1667.68,2.0,46,88589,125543,989311,25775275,218556650,0.00168569843052,0.0464970065025,0.0362539130435
"('443111', 'Household Appliance Stores')",443111,Household Appliance Stores,1507.09,1.0,57,29273,33603,227213,6759661,53813889,0.00663293913641,0.250865927566,0.0264401754386
"('443112', 'Radio, Television, and Other Electronics Stores')",443112,"Radio, Television, and Other Electronics Stores",2183.72,3.0,173,59380,91940,695741,19015614,164742761,0.00313869672766,0.248655749769,0.0126226589595
"('44312', 'Computer and Software Stores')",44312,Computer and Software Stores,0.0,0.0,32,28768,38790,198773,7548703,63342933,,0.16098765929,
"('443120', 'Computer and Software Stores')",443120,Computer and Software Stores,101.65,1.0,70,28768,38790,198773,7548703,63342933,0.000511387361463,0.352160504696,0.00145214285714
"('44313', 'Camera and Photographic Supplies Stores')",44313,Camera and Photographic Supplies Stores,47673.0,47.0,4,3224,5903,30792,916492,7963459,1.54822681216,0.129903871135,11.91825
"('443130', 'Camera and Photographic Supplies Stores')",443130,Camera and Photographic Supplies Stores,722.97,0.5,10,3224,5903,30792,916492,7963459,0.0234791504287,0.324759677838,0.072297
"('4441', 'Building Material and Supplies Dealers')",4441,Building Material and Supplies Dealers,1475.1,1.5,46,174491,228039,3132502,93716665,743116454,0.000470901534939,0.0146847472085,0.0320673913043
"('44411', 'Home Centers')",44411,Home Centers,58.015,0.5,22,9821,19309,94969,2707572,20640094,0.000610883551475,0.231654539902,0.00263704545455
"('444110', 'Home Centers')",444110,Home Centers,0.0,0.0,67,9821,19309,94969,2707572,20640094,,0.705493371521,
"('44412', 'Paint and Wallpaper Stores')",44412,Paint and Wallpaper Stores,10504.5,6.5,8,9497,21668,81743,3581229,26392648,0.128506416452,0.0978677073266,1.3130625
"('444120', 'Paint and Wallpaper Stores')",444120,Paint and Wallpaper Stores,2150.64,2.0,19,9497,21668,81743,3581229,26392648,0.0263097757606,0.232435804901,0.113191578947
"('44413', 'Hardware Stores')",44413,Hardware Stores,1513.14,1.0,48,45919,51769,459387,9885234,63233575,0.00329382416133,0.10448706646,0.03152375
"('444130', 'Hardware Stores')",444130,Hardware Stores,37.28,1.0,197,45919,51769,459387,9885234,63233575,8.11516216175e-05,0.428832335264,0.00018923857868
"('44419', 'Other Building Material Dealers')",44419,Other Building Material Dealers,1712.155,2.0,30,109931,135293,1274723,49772223,354074550,0.00134315847443,0.0235345247556,0.0570718333333
"('444190', 'Other Building Material Dealers')",444190,Other Building Material Dealers,1212.85,1.0,199,109931,135293,1274723,49772223,354074550,0.00095146161166,0.156112347545,0.00609472361809
"('4442', 'Lawn and Garden Equipment and Supplies Stores')",4442,Lawn and Garden Equipment and Supplies Stores,0.0,0.0,31,64735,74261,539934,15129889,133509838,,0.057414424726,
"('44421', 'Outdoor Power Equipment Stores')",44421,Outdoor Power Equipment Stores,49.22,0.5,10,15726,16551,96479,2817748,22641724,0.000510162833363,0.103649498855,0.004922
"('444210', 'Outdoor Power Equipment Stores')",444210,Outdoor Power Equipment Stores,762.96,1.0,71,15726,16551,96479,2817748,22641724,0.00790804216462,0.735911441868,0.010745915493
"('44422', 'Nursery, Garden Center, and Farm Supply Stores')",44422,"Nursery, Garden Center, and Farm Supply Stores",0.0,0.0,95,49068,57710,443455,12310517,110855192,,0.214226922687,
"('444220', 'Nursery, Garden Center, and Farm Supply Stores')",444220,"Nursery, Garden Center, and Farm Supply Stores",0.0,0.0,190,49068,57710,443455,12310517,110855192,,0.428453845373,
"('4451', 'Grocery Stores')",4451,Grocery Stores,0.0,0.0,314,254294,311476,6057254,116072061,1144556406,,0.0518386714508,
"('44511', 'Supermarkets and Other Grocery (except Convenience) Stores')",44511,Supermarkets and Other Grocery (except Convenience) Stores,0.0,0.0,795,155523,204915,5577526,108827181,1050254511,,0.142536314488,
"('445110', 'Supermarkets and Other Grocery (except Convenience) Stores')",445110,Supermarkets and Other Grocery (except Convenience) Stores,0.0,0.0,3158,155523,204915,5577526,108827181,1050254511,,0.566200856796,
"('44512', 'Convenience Stores')",44512,Convenience Stores,220.095,1.0,390,98973,106561,479728,7244880,94301895,0.000458791231698,0.812960677717,0.000564346153846
"('445120', 'Convenience Stores')",445120,Convenience Stores,397.47,1.0,1215,98973,106561,479728,7244880,94301895,0.000828532001467,2.53268518827,0.000327135802469
"('4452', 'Specialty Food Stores')",4452,Specialty Food Stores,633.525,1.5,38,92802,104299,589986,9887959,70850283,0.00107379666636,0.0644083079937,0.0166717105263
"('44521', 'Meat Markets')",44521,Meat Markets,1699.38,1.0,43,21643,22987,145551,2806730,21927990,0.0116754951873,0.295429093582,0.0395204651163
"('445210', 'Meat Markets')",445210,Meat Markets,258.75,1.0,204,21643,22987,145551,2806730,21927990,0.00177772739452,1.40157058351,0.00126838235294
"('44522', 'Fish and Seafood Markets')",44522,Fish and Seafood Markets,919.6,0.5,12,8104,8234,37832,760443,6717660,0.0243074645802,0.317191795306,0.0766333333333
"('445220', 'Fish and Seafood Markets')",445220,Fish and Seafood Markets,1138.25,1.0,45,8104,8234,37832,760443,6717660,0.0300869634172,1.1894692324,0.0252944444444
"('44523', 'Fruit and Vegetable Markets')",44523,Fruit and Vegetable Markets,19952.49,3.0,24,12460,12871,78394,1622589,15426271,0.254515524147,0.306145878511,0.83135375
"('445230', 'Fruit and Vegetable Markets')",445230,Fruit and Vegetable Markets,983.38,1.0,81,12460,12871,78394,1622589,15426271,0.0125440722504,1.03324233997,0.0121404938272
"('44529', 'Other Specialty Food Stores')",44529,Other Specialty Food Stores,277.075,1.0,44,50630,60207,327086,4678639,26598427,0.000847101373951,0.13452119626,0.00629715909091
"('445291', 'Baked Goods Stores')",445291,Baked Goods Stores,297.35,1.0,166,14167,16751,84063,1352893,6113636,0.00353722803136,1.97470944411,0.00179126506024
"('445292', 'Confectionery and Nut Stores')",445292,Confectionery and Nut Stores,352.76,1.0,29,8870,12004,62445,827328,5498752,0.00564913123549,0.464408679638,0.012164137931
"('445299', 'All Other Specialty Food Stores')",445299,All Other Specialty Food Stores,0.0,0.0,298,27603,31452,172687,2241308,13669575,,1.72566551043,
"('4453', 'Beer, Wine, and Liquor Stores')",4453,"Beer, Wine, and Liquor Stores",2192.395,2.5,16,106937,115981,516169,9488727,125642848,0.00424743640164,0.0309975996234,0.1370246875
